employee_id,first_name,last_name,email,phone,hire_date,date_of_birth,gender,is_active
E0001,Michael,Scott,michael.scott@company.com,+34 988 229 287,2020-07-13,1964-03-15,M,Yes
E0002,Jim,Halpert,jim.halpert@company.com,+34 901 870 366,2021-12-31,1978-10-01,M,Yes
E0003,Pam,Beesly,pam.beesly@company.com,+34 928657980,2021-05-07,1979-03-25,F,Yes
E0004,Dwight,Schrute,dwight.schrute@company.com,+34900 167 280,2025-05-14,1970-01-20,M,Yes
E0005,Stanley,Hudson,stanley.hudson@company.com,+34 806 021 756,2022-04-27,1958-02-19,M,Yes
E0006,Phyllis,Vance,phyllis.vance@company.com,+34 841802704,2025-09-08,1965-11-14,F,No
E0007,Angela,Martin,angela.martin@company.com,+34 665 029 999,2022-07-05,1971-11-11,F,Yes
E0008,Oscar,Martinez,oscar.martinez@company.com,+34 985 18 14 38,2021-05-21,1972-11-18,M,No
E0009,Kevin,Malone,kevin.malone@company.com,+34 972 120 980,2023-09-11,1968-06-01,M,Yes
E0010,Andy,Bernard,andy.bernard@company.com,+34 947 729 239,2024-02-03,1973-01-24,M,Yes
E0011,Erin,Hannon,erin.hannon@company.com,+34 845 461 727,2022-01-15,1986-05-01,F,Yes
E0012,Kelly,Kapoor,kelly.kapoor@company.com,+34 866931016,2021-01-12,1980-02-05,F,Yes
E0013,Ryan,Howard,ryan.howard@company.com,+34971268173,2022-11-10,1982-05-05,M,Yes
E0014,Toby,Flenderson,toby.flenderson@company.com,+34 842 53 54 05,2020-05-09,1971-02-22,M,Yes
E0015,Leslie,Knope,leslie.knope@company.com,+34823 620 723,2022-04-07,1975-01-18,F,Yes
E0016,Ron,Swanson,ron.swanson@company.com,+34 739100234,2022-07-21,1967-02-27,M,Yes
E0017,Tom,Haverford,tom.haverford@company.com,+34824579904,2020-02-03,1982-07-05,M,No
E0018,April,Ludgate,april.ludgate@company.com,+34986501719,2021-08-27,1989-04-06,F,Yes
E0019,Andy,Dwyer,andy.dwyer@company.com,+34 986 277 160,2022-09-23,1981-10-03,M,Yes
E0020,Ben,Wyatt,ben.wyatt@company.com,+34807552738,2020-08-30,1974-11-14,M,No
E0021,Chris,Traeger,chris.traeger@company.com,+34974919233,2023-05-12,1968-04-02,M,No
E0022,Ann,Perkins,ann.perkins@company.com,+34 919780835,2022-01-04,1976-11-21,F,Yes
E0023,Donna,Meagle,donna.meagle@company.com,+34973 457 038,2024-02-01,1972-08-24,F,Yes
E0024,Jerry,Gergich,jerry.gergich@company.com,+34945 59 34 75,2023-06-24,1950-02-28,M,Yes
E0025,Jake,Peralta,jake.peralta@company.com,+34971 83 47 54,2021-10-31,1981-10-20,M,Yes
E0026,Amy,Santiago,amy.santiago@company.com,+34 885 552 960,2023-11-18,1982-05-04,F,Yes
E0027,Rosa,Diaz,rosa.diaz@company.com,+34848 011 248,2024-05-03,1984-02-14,F,Yes
E0028,Terry,Jeffords,terry.jeffords@company.com,+34876 38 71 52,2025-07-03,1972-05-22,M,Yes
E0029,Charles,Boyle,charles.boyle@company.com,+34 828 666 894,2023-03-18,1980-02-16,M,Yes
E0030,Raymond,Holt,raymond.holt@company.com,+34984 30 86 58,2023-07-04,1955-06-02,M,Yes
E0031,Gina,Linetti,gina.linetti@company.com,+34 806759910,2024-12-20,1985-12-07,F,No
E0032,Michael,Hitchcock,michael.hitchcock@company.com,+34 986 309 413,2022-01-04,1960-07-06,M,No
E0033,Norm,Scully,norm.scully@company.com,+34927 11 97 16,2020-11-19,1959-09-20,M,Yes
E0034,Ross,Geller,ross.geller@company.com,+34 847 071 505,2024-12-18,1967-10-18,M,Yes
E0035,Monica,Geller,monica.geller@company.com,+34 916739829,2021-10-23,1969-04-22,F,Yes
E0036,Rachel,Green,rachel.green@company.com,+34 980363710,2020-10-04,1969-05-05,F,Yes
E0037,Chandler,Bing,chandler.bing@company.com,+34977 23 37 46,2021-03-07,1968-04-08,M,Yes
E0038,Joey,Tribbiani,joey.tribbiani@company.com,+34945 832 248,2025-02-12,1968-01-09,M,Yes
E0039,Gunther,Centralperk,gunther.centralperk@company.com,+34984 701 395,2021-08-27,1963-02-28,M,Yes
E0040,Janice,Litman,janice.litman@company.com,+34984 217 399,2023-01-01,1965-10-17,F,No
E0041,Carol,Willick,carol.willick@company.com,+34 948 505 024,2020-08-15,1967-04-19,F,Yes
E0042,Mike,Hannigan,mike.hannigan@company.com,+34 969 309 454,2020-04-30,1968-03-22,M,Yes
E0043,Richard,Burke,richard.burke@company.com,+34803 40 59 85,2022-12-02,1950-01-19,M,Yes
E0044,Ted,Mosby,ted.mosby@company.com,+34814 530 504,2023-05-03,1978-04-25,M,Yes
E0045,Marshall,Eriksen,marshall.eriksen@company.com,+34953 52 54 37,2023-09-02,1978-05-07,M,Yes
E0046,Lily,Aldrin,lily.aldrin@company.com,+34948 39 64 32,2021-09-15,1978-03-22,F,No
E0047,Robin,Scherbatsky,robin.scherbatsky@company.com,+34 715 771 285,2022-09-24,1980-07-23,F,Yes
E0048,Barney,Stinson,barney.stinson@company.com,+34876 15 30 59,2024-04-10,1976-11-22,M,Yes
E0049,Walter,White,walter.white@company.com,+34 826 72 50 95,2024-08-22,1958-09-07,M,Yes
E0050,Jesse,Pinkman,jesse.pinkman@company.com,+34872 50 94 18,2022-07-16,1984-09-24,M,Yes
E0051,Skyler,White,skyler.white@company.com,+34877 127 477,2024-06-30,1970-08-11,F,Yes
E0052,Hank,Schrader,hank.schrader@company.com,+34 986586408,2024-12-18,1966-11-15,M,Yes
E0053,Saul,Goodman,saul.goodman@company.com,+34977 332 538,2023-08-26,1960-11-12,M,Yes
E0054,Gustavo,Fring,gustavo.fring@company.com,+34 823 402 024,2022-05-31,1958-12-05,M,Yes
E0055,Jon,Snow,jon.snow@company.com,+34 900 560 810,2025-02-02,1995-12-25,M,No
E0056,Daenerys,Targaryen,daenerys.targaryen@company.com,+34 984 397 145,2025-08-06,1996-04-13,F,Yes
E0057,Tyrion,Lannister,tyrion.lannister@company.com,+34 922698143,2023-02-18,1985-02-01,M,No
E0058,Cersei,Lannister,cersei.lannister@company.com,+34947 720 134,2023-01-21,1978-06-23,F,Yes
E0059,Jaime,Lannister,jaime.lannister@company.com,+34 942 540 988,2025-09-20,1978-05-24,M,Yes
E0060,Arya,Stark,arya.stark@company.com,+34981 88 08 78,2023-03-07,1998-01-03,F,Yes
E0061,Sansa,Stark,sansa.stark@company.com,+34 880 31 70 95,2024-02-13,1996-04-02,F,No
E0062,Gregory,House,gregory.house@company.com,+34 887 41 27 51,2024-09-13,1959-06-11,M,Yes
E0063,James,Wilson,james.wilson@company.com,+34947 71 95 46,2024-01-01,1969-09-28,M,Yes
E0064,Eric,Foreman,eric.foreman@company.com,+34954 577 228,2021-05-22,1973-10-04,M,Yes
E0065,Allison,Cameron,allison.cameron@company.com,+34884 510 430,2023-01-05,1977-10-20,F,Yes
