IdEstudiante,Nombre,Apellido1,Apellido2,FechaNacimiento,Edad,Programa,SiglasPrograma,Email,FechaMatriculacion
1,Feliciana,Cantón,Amaya,1999-01-31,26,Digital MBA,DMBA,fcanton@dmba.isdi.education,2025-02-27
2,Manuela,Llopis,Hierro,1999-10-23,26,Digital MBA,DMBA,mllopis@dmba.isdi.education,2025-05-21
3,Jacinto,Chaparro,Calatayud,1998-02-25,27,Digital MBA,DMBA,jchaparro@dmba.isdi.education,2025-04-25
4,Inmaculada,Bonet,Roca,1995-10-27,30,Digital MBA,DMBA,ibonet@dmba.isdi.education,2025-02-22
5,Amílcar,Andrés,Bueno,2000-12-17,24,Digital MBA,DMBA,aandres@dmba.isdi.education,2025-02-14
6,Isaías,Guerrero,Vazquez,2000-11-03,25,Digital MBA,DMBA,iguerrero@dmba.isdi.education,2025-08-05
7,Eligia,Amor,Flor,1995-07-12,30,Digital MBA,DMBA,eamor@dmba.isdi.education,2025-01-16
8,Lilia,Rivas,Giménez,1997-08-22,28,Digital MBA,DMBA,lrivas@dmba.isdi.education,2025-04-22
9,Vidal,Lobo,Agudo,2000-12-05,24,Digital MBA,DMBA,vlobo@dmba.isdi.education,2025-09-16
10,Martina,Cuervo,Rocamora,1998-12-01,27,Digital MBA,DMBA,mcuervo@dmba.isdi.education,2025-01-14
11,Noé,Lobo,Cortés,2001-05-16,24,Digital MBA,DMBA,nlobo@dmba.isdi.education,2025-04-12
12,Ildefonso,Navarro,Calatayud,2001-07-02,24,Digital MBA,DMBA,inavarro@dmba.isdi.education,2025-08-03
13,Cirino,Pinto,Caballero,1999-02-18,26,Digital MBA,DMBA,cpinto@dmba.isdi.education,2025-08-18
14,Plinio,Núñez,Lamas,2004-04-01,21,Digital MBA,DMBA,pnunez@dmba.isdi.education,2025-05-23
15,Noemí,Aroca,Segovia,2003-06-08,22,Digital MBA,DMBA,naroca@dmba.isdi.education,2025-03-23
16,Brunilda,Casanovas,Pinedo,2001-10-24,24,Digital MBA,DMBA,bcasanovas@dmba.isdi.education,2025-08-05
17,Cayetano,Marcos,Pardo,2002-06-09,23,Digital MBA,DMBA,cmarcos@dmba.isdi.education,2025-05-23
18,Crescencia,Fernandez,Baños,1998-11-11,27,Digital MBA,DMBA,cfernandez@dmba.isdi.education,2025-04-21
19,Artemio,Goñi,Mancebo,2002-03-03,23,Digital MBA,DMBA,agoni@dmba.isdi.education,2025-02-22
20,Cebrián,Guerrero,Cabrero,2003-02-01,22,Digital MBA,DMBA,cguerrero@dmba.isdi.education,2025-07-14
21,Ricardo,Lobo,Santana,1995-11-26,30,Digital MBA,DMBA,rlobo@dmba.isdi.education,2025-07-03
22,Fabiola,Patiño,Cánovas,2000-06-23,25,Digital MBA,DMBA,fpatino@dmba.isdi.education,2025-05-16
23,Raimundo,Padilla,Gallego,1999-04-28,26,Digital MBA,DMBA,rpadilla@dmba.isdi.education,2025-08-24
24,Herminia,Lasa,Bellido,2003-09-28,22,Digital MBA,DMBA,hlasa@dmba.isdi.education,2025-03-05
25,Emelina,Donoso,Hierro,2001-04-26,24,Digital MBA,DMBA,edonoso@dmba.isdi.education,2025-02-10
26,Fernando,Sevilla,Pino,1999-12-04,25,Digital MBA,DMBA,fsevilla@dmba.isdi.education,2025-05-31
27,Julián,Gimenez,Morata,2003-03-09,22,Digital MBA,DMBA,jgimenez@dmba.isdi.education,2025-07-05
28,Pía,Barba,Grande,1999-04-20,26,Digital MBA,DMBA,pbarba@dmba.isdi.education,2025-04-09
29,Paca,Antón,Moles,2001-12-01,24,Digital MBA,DMBA,panton@dmba.isdi.education,2025-02-05
30,Salvador,Leal,Batalla,2000-03-22,25,Digital MBA,DMBA,sleal@dmba.isdi.education,2025-04-27
31,Héctor,Miranda,Garcia,2001-05-04,24,Digital MBA,DMBA,hmiranda@dmba.isdi.education,2025-02-10
32,Gabriela,Valera,Priego,1995-02-16,30,Digital MBA,DMBA,gvalera@dmba.isdi.education,2025-02-21
33,Soledad,Segarra,Clavero,1999-12-30,25,Digital MBA,DMBA,ssegarra@dmba.isdi.education,2025-05-23
34,Juan Manuel,Chaparro,Huerta,2002-09-16,23,Digital MBA,DMBA,jchaparro1@dmba.isdi.education,2025-07-06
35,Marcela,Jódar,Romero,1997-08-08,28,Digital MBA,DMBA,mjodar@dmba.isdi.education,2025-07-09
36,Tomasa,Pujol,Paredes,2002-12-23,22,Digital MBA,DMBA,tpujol@dmba.isdi.education,2025-04-18
37,Isidoro,Chacón,Vergara,1999-11-06,26,Digital MBA,DMBA,ichacon@dmba.isdi.education,2025-05-17
38,Ana,Bou,Arévalo,2004-05-29,21,Digital MBA,DMBA,abou@dmba.isdi.education,2025-02-06
39,Rosalinda,Canals,Coronado,2003-08-07,22,Digital MBA,DMBA,rcanals@dmba.isdi.education,2025-03-29
